"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.56.101","192.168.56.100","DHCP","342","DHCP Request  - Transaction ID 0x142cdf24"
"2","0.005497106","192.168.56.100","192.168.56.101","DHCP","590","DHCP ACK      - Transaction ID 0x142cdf24"
"3","5.031444895","PCSSystemtec_68:9e:da","PCSSystemtec_f7:82:4d","ARP","60","Who has 192.168.56.100? Tell 192.168.56.101"
"4","5.031445436","PCSSystemtec_f7:82:4d","PCSSystemtec_68:9e:da","ARP","60","192.168.56.100 is at 08:00:27:f7:82:4d"
"5","10.692436881","PCSSystemtec_1f:b7:23","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.102"
"6","10.693332880","PCSSystemtec_68:9e:da","PCSSystemtec_1f:b7:23","ARP","60","192.168.56.101 is at 08:00:27:68:9e:da"
"7","10.775996732","192.168.56.102","192.168.56.101","TCP","58","55479  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"8","10.776145600","192.168.56.102","192.168.56.101","TCP","58","55479  >  139 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"9","10.776228607","192.168.56.102","192.168.56.101","TCP","58","55479  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"10","10.776285213","192.168.56.102","192.168.56.101","TCP","58","55479  >  1720 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"11","10.776355269","192.168.56.102","192.168.56.101","TCP","58","55479  >  25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"12","10.776410757","192.168.56.102","192.168.56.101","TCP","58","55479  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"13","10.776474621","192.168.56.102","192.168.56.101","TCP","58","55479  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"14","10.776580045","192.168.56.102","192.168.56.101","TCP","58","55479  >  110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"15","10.776649132","192.168.56.102","192.168.56.101","TCP","58","55479  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"16","10.776705129","192.168.56.102","192.168.56.101","TCP","58","55479  >  135 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"17","10.779126216","192.168.56.101","192.168.56.102","TCP","60","554  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"18","10.779730428","192.168.56.101","192.168.56.102","TCP","60","139  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"19","10.779801145","192.168.56.102","192.168.56.101","TCP","54","55479  >  139 [RST] Seq=1 Win=0 Len=0"
"20","10.780115825","192.168.56.101","192.168.56.102","TCP","60","8888  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"21","10.780391555","192.168.56.101","192.168.56.102","TCP","60","1720  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"22","10.781215299","192.168.56.101","192.168.56.102","TCP","60","25  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"23","10.781215502","192.168.56.101","192.168.56.102","TCP","60","21  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"24","10.781265582","192.168.56.102","192.168.56.101","TCP","54","55479  >  25 [RST] Seq=1 Win=0 Len=0"
"25","10.781310428","192.168.56.102","192.168.56.101","TCP","54","55479  >  21 [RST] Seq=1 Win=0 Len=0"
"26","10.781851681","192.168.56.101","192.168.56.102","TCP","60","80  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"27","10.781892329","192.168.56.102","192.168.56.101","TCP","54","55479  >  80 [RST] Seq=1 Win=0 Len=0"
"28","10.782170112","192.168.56.101","192.168.56.102","TCP","60","110  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"29","10.782660692","192.168.56.101","192.168.56.102","TCP","60","23  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"30","10.782713022","192.168.56.102","192.168.56.101","TCP","54","55479  >  23 [RST] Seq=1 Win=0 Len=0"
"31","10.782955043","192.168.56.101","192.168.56.102","TCP","60","135  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"32","10.783074922","192.168.56.102","192.168.56.101","TCP","58","55479  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"33","10.783140147","192.168.56.102","192.168.56.101","TCP","58","55479  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"34","10.783190361","192.168.56.102","192.168.56.101","TCP","58","55479  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"35","10.783224693","192.168.56.102","192.168.56.101","TCP","58","55479  >  199 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"36","10.783269845","192.168.56.102","192.168.56.101","TCP","58","55479  >  1025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"37","10.783304071","192.168.56.102","192.168.56.101","TCP","58","55479  >  3389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"38","10.783346946","192.168.56.102","192.168.56.101","TCP","58","55479  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"39","10.783380987","192.168.56.102","192.168.56.101","TCP","58","55479  >  53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"40","10.783424122","192.168.56.102","192.168.56.101","TCP","58","55479  >  1723 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"41","10.783456830","192.168.56.102","192.168.56.101","TCP","58","55479  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"42","10.783912649","192.168.56.102","192.168.56.101","TCP","58","55479  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"43","10.783982234","192.168.56.102","192.168.56.101","TCP","58","55479  >  995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"44","10.784050320","192.168.56.102","192.168.56.101","TCP","58","55479  >  5900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"45","10.784084190","192.168.56.102","192.168.56.101","TCP","58","55479  >  111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"46","10.784132100","192.168.56.102","192.168.56.101","TCP","58","55479  >  993 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"47","10.784163114","192.168.56.102","192.168.56.101","TCP","58","55479  >  143 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"48","10.784204903","192.168.56.102","192.168.56.101","TCP","58","55479  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"49","10.784236690","192.168.56.102","192.168.56.101","TCP","58","55479  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"50","10.784278910","192.168.56.102","192.168.56.101","TCP","58","55479  >  2049 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"51","10.784309421","192.168.56.102","192.168.56.101","TCP","58","55479  >  2366 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"52","10.784415644","192.168.56.101","192.168.56.102","TCP","60","3306  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"53","10.784453678","192.168.56.102","192.168.56.101","TCP","54","55479  >  3306 [RST] Seq=1 Win=0 Len=0"
"54","10.784668861","192.168.56.101","192.168.56.102","TCP","60","587  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"55","10.784945754","192.168.56.101","192.168.56.102","TCP","60","443  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"56","10.785127310","192.168.56.101","192.168.56.102","TCP","60","199  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"57","10.785342438","192.168.56.101","192.168.56.102","TCP","60","1025  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"58","10.785342506","192.168.56.101","192.168.56.102","TCP","60","3389  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"59","10.785554588","192.168.56.101","192.168.56.102","TCP","60","256  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"60","10.785994878","192.168.56.101","192.168.56.102","TCP","60","53  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"61","10.786028526","192.168.56.102","192.168.56.101","TCP","54","55479  >  53 [RST] Seq=1 Win=0 Len=0"
"62","10.786568330","192.168.56.101","192.168.56.102","TCP","60","1723  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"63","10.786568594","192.168.56.101","192.168.56.102","TCP","60","445  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"64","10.786637979","192.168.56.102","192.168.56.101","TCP","54","55479  >  445 [RST] Seq=1 Win=0 Len=0"
"65","10.786804552","192.168.56.101","192.168.56.102","TCP","60","8080  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"66","10.786958212","192.168.56.101","192.168.56.102","TCP","60","995  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"67","10.787530467","192.168.56.101","192.168.56.102","TCP","60","5900  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"68","10.787530746","192.168.56.101","192.168.56.102","TCP","60","111  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"69","10.787642656","192.168.56.102","192.168.56.101","TCP","54","55479  >  5900 [RST] Seq=1 Win=0 Len=0"
"70","10.787742016","192.168.56.102","192.168.56.101","TCP","54","55479  >  111 [RST] Seq=1 Win=0 Len=0"
"71","10.787957173","192.168.56.101","192.168.56.102","TCP","60","993  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"72","10.787957381","192.168.56.101","192.168.56.102","TCP","60","143  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"73","10.788573868","192.168.56.101","192.168.56.102","TCP","60","113  >  55479 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"74","10.788573965","192.168.56.101","192.168.56.102","TCP","60","22  >  55479 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
